"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2023","4,327.48","4,364.81","4,377.13","4,311.93","","-0.51%"
"10/12/2023","4,349.61","4,380.94","4,385.85","4,325.43","","-0.62%"
"10/11/2023","4,376.95","4,366.59","4,378.64","4,345.34","","0.43%"
"10/10/2023","4,358.24","4,339.75","4,385.46","4,339.64","","0.52%"
"10/09/2023","4,335.66","4,289.02","4,341.73","4,283.79","","0.63%"
"10/06/2023","4,308.50","4,234.79","4,324.10","4,219.55","","1.18%"
"10/05/2023","4,258.19","4,259.31","4,267.13","4,225.91","","-0.13%"
"10/04/2023","4,263.75","4,233.83","4,268.50","4,220.48","","0.81%"
"10/03/2023","4,229.45","4,269.75","4,281.15","4,216.45","","-1.37%"
"10/02/2023","4,288.39","4,284.52","4,300.58","4,260.21","","0.01%"
"09/29/2023","4,288.05","4,328.18","4,333.15","4,274.86","","-0.27%"
"09/28/2023","4,299.70","4,269.65","4,317.27","4,264.38","","0.59%"
"09/27/2023","4,274.51","4,282.63","4,292.07","4,238.63","","0.02%"
"09/26/2023","4,273.53","4,312.88","4,313.01","4,265.98","","-1.47%"
"09/25/2023","4,337.44","4,310.62","4,338.51","4,302.70","","0.40%"
"09/22/2023","4,320.06","4,341.74","4,357.40","4,316.49","","-0.23%"
"09/21/2023","4,330.00","4,374.36","4,375.70","4,329.17","","-1.64%"
"09/20/2023","4,402.20","4,452.81","4,461.03","4,401.38","","-0.94%"
"09/19/2023","4,443.95","4,445.41","4,449.85","4,416.61","","-0.22%"
"09/18/2023","4,453.53","4,445.13","4,466.36","4,442.11","","0.07%"
"09/15/2023","4,450.32","4,497.98","4,497.98","4,447.21","","-1.22%"
"09/14/2023","4,505.10","4,487.78","4,511.99","4,478.69","","0.84%"
"09/13/2023","4,467.44","4,462.65","4,479.39","4,453.52","","0.12%"
"09/12/2023","4,461.90","4,473.27","4,487.11","4,456.83","","-0.57%"
"09/11/2023","4,487.46","4,480.98","4,490.77","4,467.89","","0.67%"
"09/08/2023","4,457.49","4,451.30","4,473.53","4,448.38","","0.14%"
"09/07/2023","4,451.14","4,434.55","4,457.81","4,430.46","","-0.32%"
"09/06/2023","4,465.48","4,490.35","4,490.35","4,442.38","","-0.70%"
"09/05/2023","4,496.83","4,510.06","4,514.29","4,496.01","","-0.42%"
"09/01/2023","4,515.77","4,530.60","4,541.25","4,501.35","","0.18%"
"08/31/2023","4,507.66","4,517.01","4,532.26","4,507.39","","-0.16%"
"08/30/2023","4,514.87","4,500.34","4,521.65","4,493.59","","0.38%"
"08/29/2023","4,497.63","4,432.75","4,500.14","4,431.68","","1.45%"
"08/28/2023","4,433.31","4,426.03","4,439.56","4,414.98","","0.63%"
"08/25/2023","4,405.71","4,389.38","4,418.46","4,356.29","","0.67%"
"08/24/2023","4,376.31","4,455.16","4,458.30","4,375.55","","-1.35%"
"08/23/2023","4,436.01","4,396.44","4,443.18","4,396.44","","1.10%"
"08/22/2023","4,387.55","4,415.33","4,418.59","4,382.77","","-0.28%"
"08/21/2023","4,399.77","4,380.28","4,407.55","4,360.30","","0.69%"
"08/18/2023","4,369.71","4,344.88","4,381.82","4,335.31","","-0.01%"
"08/17/2023","4,370.36","4,416.32","4,421.17","4,364.83","","-0.77%"
"08/16/2023","4,404.33","4,433.79","4,449.95","4,403.55","","-0.76%"
"08/15/2023","4,437.86","4,478.87","4,478.87","4,432.19","","-1.16%"
"08/14/2023","4,489.72","4,458.13","4,490.33","4,453.44","","0.58%"
"08/11/2023","4,464.05","4,450.69","4,476.23","4,443.98","","-0.11%"
"08/10/2023","4,468.83","4,487.16","4,527.37","4,457.92","","0.03%"
"08/09/2023","4,467.71","4,501.57","4,502.44","4,461.33","","-0.70%"
"08/08/2023","4,499.38","4,498.03","4,503.31","4,464.39","","-0.42%"
"08/07/2023","4,518.44","4,491.58","4,519.84","4,491.15","","0.90%"
"08/04/2023","4,478.03","4,513.96","4,540.34","4,474.55","","-0.53%"
"08/03/2023","4,501.89","4,494.27","4,519.49","4,485.54","","-0.25%"
"08/02/2023","4,513.39","4,550.93","4,550.93","4,505.75","","-1.38%"
"08/01/2023","4,576.73","4,578.83","4,584.62","4,567.53","","-0.27%"
"07/31/2023","4,588.96","4,584.82","4,594.22","4,573.14","","0.15%"
"07/28/2023","4,582.23","4,565.75","4,590.16","4,564.01","","0.99%"
"07/27/2023","4,537.41","4,598.26","4,607.07","4,528.56","","-0.64%"
"07/26/2023","4,566.75","4,558.96","4,582.47","4,547.58","","-0.02%"
"07/25/2023","4,567.46","4,555.19","4,580.62","4,552.42","","0.28%"
"07/24/2023","4,554.64","4,543.39","4,563.41","4,541.29","","0.40%"
"07/21/2023","4,536.34","4,550.16","4,555.00","4,535.79","","0.03%"
"07/20/2023","4,534.87","4,554.38","4,564.74","4,527.56","","-0.68%"
"07/19/2023","4,565.72","4,563.87","4,578.43","4,557.48","","0.24%"
"07/18/2023","4,554.98","4,521.78","4,562.30","4,514.59","","0.71%"
"07/17/2023","4,522.79","4,508.86","4,532.85","4,504.90","","0.39%"
"07/14/2023","4,505.42","4,514.61","4,527.76","4,499.56","","-0.10%"
"07/13/2023","4,510.04","4,491.50","4,517.38","4,489.36","","0.85%"
"07/12/2023","4,472.16","4,467.69","4,488.34","4,463.23","","0.74%"
"07/11/2023","4,439.26","4,415.55","4,443.64","4,408.46","","0.67%"
"07/10/2023","4,409.53","4,394.23","4,412.60","4,389.92","","0.24%"
"07/07/2023","4,398.95","4,404.54","4,440.39","4,397.40","","-0.29%"
"07/06/2023","4,411.59","4,422.62","4,422.62","4,385.05","","-0.79%"
"07/05/2023","4,446.82","4,442.04","4,454.06","4,436.61","","-0.20%"
"07/03/2023","4,455.59","4,450.48","4,456.46","4,442.29","","0.12%"
